"","Mmus_C57-6T_LVR_BSL_Rep1_B1","Mmus_C57-6T_LVR_BSL_Rep2_B2","Mmus_C57-6T_LVR_BSL_Rep3_B3","Mmus_C57-6T_LVR_GC_Rep1_G2","Mmus_C57-6T_LVR_GC_Rep2_G3","Mmus_C57-6T_LVR_GC_Rep3_G5","Mmus_C57-6T_LVR_FLT_Rep1_F1","Mmus_C57-6T_LVR_FLT_Rep2_F2","Mmus_C57-6T_LVR_FLT_Rep3_F4"
"ENSMUSG00000000001",2058.24567195348,2576.33588804877,2597.36276837303,2736.48928236581,2391.24059375861,2852.32544533253,2663.09553972002,3028.44363472525,3068.34727524795
"ENSMUSG00000000028",32.0368423980662,44.3127280185414,40.3235608258008,51.207745762735,49.2308052132296,46.789677236539,41.0435763688254,42.6315052007253,35.4945499858297
"ENSMUSG00000000031",39.8799499783964,43.8710244363512,48.2953247678613,19.4772538245381,23.6500889354904,36.6039742680698,25.2061599259973,22.4916896605913,29.8325721993782
"ENSMUSG00000000049",57509.5113967858,54060.3094290202,55734.6331265978,58094.1306894792,56404.4170378746,43947.7941644604,49502.3712033674,57261.6490883712,56399.1707267251
"ENSMUSG00000000056",1341.47595766862,1218.11552227229,988.418171790198,1727.21373226163,1363.39367782083,1061.74008000668,1828.16512177749,2386.9181701605,2363.84158831062
"ENSMUSG00000000058",124.012026208321,108.48608710416,118.605754501091,107.152589087777,111.928516996086,107.542984529168,119.187399401529,88.3070466161555,117.918305803168
"ENSMUSG00000000078",407.806244659149,494.297814907354,333.518036107899,357.617193356481,380.925968926405,500.995706075444,397.518308352116,287.97483142587,319.278341219087
"ENSMUSG00000000085",229.15934863423,285.506778865838,207.680794863425,308.254927566916,269.705440311212,387.975251167408,430.814093285655,370.609802180573,330.156275045148
"ENSMUSG00000000088",3451.76458475096,2770.91111592021,3370.24633313593,2905.97914596994,2931.07971920398,2435.20204755349,2556.8049756188,3791.61797672092,3579.03695464269
"ENSMUSG00000000093",276.093449428516,229.282461348608,221.575955171091,326.970203746898,297.084681366089,238.143096984452,264.820584158266,265.26520121466,313.819193679408
"ENSMUSG00000000094",2.97678974767553,0,4.18413553795809,0,0,3.66546425418791,0,2.25411272439187,3.9024940143216
"ENSMUSG00000000120",118.325767934909,259.726614141703,110.787981231592,126.763837009073,133.008505511818,285.771725786127,232.914497346613,139.264214596483,140.644561454892
"ENSMUSG00000000126",19.720928316864,26.6384195581802,20.5161957340819,18.1094215964807,36.8932597568489,13.4797758259237,20.20709820985,8.84212949434095,11.4811681525475
"ENSMUSG00000000127",122.871553290215,235.932948849809,196.138342284588,294.058465516692,182.005624068177,254.376786704962,270.915280621869,220.856836121961,241.70764999438
"ENSMUSG00000000131",1217.04514158561,1038.81683594752,1097.70076195191,1442.82062969892,1304.01111839125,1237.36070521391,1279.97928815338,1438.35901476299,1497.0924409084
"ENSMUSG00000000134",648.040593213979,690.022556654575,853.301786025428,617.411937780488,715.635873846368,823.059019001023,751.84111517607,749.219129762729,885.655974589836
"ENSMUSG00000000142",472.230890111665,400.747871402732,340.632095140306,196.341475997832,355.182019751546,236.448740883869,458.732013431646,169.850443609285,162.045854128041
"ENSMUSG00000000148",316.816805661181,312.013579341732,258.363094104506,348.274204955723,324.15989804435,350.777142612813,351.823722357424,369.982688627417,351.214960412558
"ENSMUSG00000000149",2468.23401569148,2773.2713722885,3347.23319319611,2805.90748792409,3587.34620970788,2177.43677866225,3902.11550568187,3487.13165151494,3359.20438909611
"ENSMUSG00000000154",1976.40316897863,1930.48482831415,2172.13206065593,2561.67823150475,2414.19860441348,1967.47623718754,2356.60393163155,2799.74456074302,2516.9109307245
"ENSMUSG00000000159",330.752234249891,485.172482884097,723.301885764509,557.754564407629,640.131598619816,446.387940600974,594.946551205386,495.129659823019,523.778654530644
"ENSMUSG00000000167",5.77898031521408,14.4931212187601,15.3559393021428,12.602311075945,5.46044071456615,11.8967121948318,10.8900103149156,4.75758221696705,5.0175296613358
"ENSMUSG00000000168",1602.21608669918,1452.89339922383,1243.85059961611,1549.39484557384,1342.28433941862,1742.95731319737,1534.99297606924,1921.47455023342,1761.81469543956
"ENSMUSG00000000171",4800.50304574683,4387.76780980379,5005.98158172173,4688.2555891307,4994.13569818294,3382.53488607853,4028.68126459574,5061.01669863815,4620.20186918807
"ENSMUSG00000000184",469.455102120091,661.599869038473,580.17988296053,503.0748444295,674.517982245231,731.826476659939,570.309674751455,259.142607673747,375.292340906147
"ENSMUSG00000000194",923.544712246549,802.70915853646,584.29174654041,463.281653113615,638.368448497407,597.599265497387,746.055681058763,630.806363525496,553.089673042049
"ENSMUSG00000000204",13.3642477001576,23.2174678516438,35.707729577861,20.4284289769209,38.9625115159461,39.1622271070263,48.6193828696602,1.06871012041305,17.5814303780671
"ENSMUSG00000000244",37.1784731339001,56.175661207519,27.7149476127323,54.1460042392577,44.3035906583112,82.1865592712504,45.3616008844013,21.218617460877,41.3003984174341
"ENSMUSG00000000247",131.35364907544,176.590995401929,78.2512414815681,90.7262627622684,107.740336447224,85.6107877205489,90.7069193023641,92.3445350813938,68.1494244264321
"ENSMUSG00000000248",0,6.76292091536603,2.54233748584148,0,1.98674142678731,4.29390136153178,3.62730151328223,0.75392764784711,0
"ENSMUSG00000000253",54.4626226500648,26.2563393844054,38.6123129380026,36.0411520900492,39.3511671732948,27.2405143977568,45.8093432935611,29.3983053049543,29.0019512186098
"ENSMUSG00000000266",211.174260584906,205.272820198465,239.37153370583,284.696651629835,227.484165669799,237.459497524677,274.921517347944,267.981075337798,274.774192433587
"ENSMUSG00000000275",2567.45743665992,1985.20325270552,2230.96058293908,3318.08089313282,2631.09506106013,3150.66614556262,3744.12578746483,2916.70761988812,2927.93957229262
"ENSMUSG00000000276",78.771789726866,84.221197160313,79.0253175965849,43.5894566581606,57.9925976984794,77.1808248643563,60.7119162436443,77.5741620399022,44.6135308438092
"ENSMUSG00000000278",1435.47901352943,1479.39582035066,1544.87751483755,1528.20913775999,1834.93564744212,1438.74443413943,1998.38597728955,1703.22088218108,1827.41977818315
"ENSMUSG00000000282",527.711061462603,522.103193444978,377.5400743684,417.272945693478,445.223085945811,430.465533516335,464.858994264672,396.754146763246,392.569291815203
"ENSMUSG00000000290",431.738226206785,445.886146192743,258.604928501414,270.059836493999,439.928384894586,751.513605944334,483.42654402028,279.505674716744,216.319472233755
"ENSMUSG00000000295",31.1511493760571,18.8528413897722,44.8478236891156,42.342699357444,16.7029288619097,32.3666604991271,25.8271443657598,23.3257194741326,22.2238899831466
"ENSMUSG00000000296",267.277313673712,234.93597121753,282.963150443806,295.737802005596,261.186621780508,177.22778009214,211.087479943844,250.104026867116,248.788074588113
"ENSMUSG00000000301",8216.12975164076,7497.04730865233,8425.04255705312,7314.0884081103,7345.18615958545,6500.23192881307,6973.29241237842,7562.97152213178,8067.47416755028
"ENSMUSG00000000303",202.324570090072,291.965621483977,241.779739514749,80.4552433438826,151.398990521853,131.154902175726,153.092682558131,131.478812244158,156.851717351417
"ENSMUSG00000000305",23.5886807214755,32.6476187040918,45.5293502962203,24.2686427457658,38.4176505923089,11.1672895377371,20.2130789274346,58.8321534111178,18.1838678738086
"ENSMUSG00000000317",111.451421352134,84.0140142537902,147.29148149413,185.138031013284,84.4840455659842,96.3014126008056,139.509743975089,120.120811811324,139.839157015001
"ENSMUSG00000000318",20.894809372458,22.6885732577237,37.6756592043683,20.3541532691047,18.583184635099,29.2148835765972,34.1400029686859,17.4345079186844,32.5136797937288
"ENSMUSG00000000320",37.7270401844104,67.6298707062677,60.0686999754603,29.9204695333951,47.5018913652188,67.5533896055553,47.2651618278837,37.3931190901393,22.6634668949883
"ENSMUSG00000000325",504.909078537613,636.433293135195,589.449540274643,602.352235663287,603.902732051901,596.192994262456,575.708879509359,588.547466691584,424.51504357006
"ENSMUSG00000000326",12603.2927203115,11930.2496531858,16964.2224151528,15146.3094558578,14091.1151516009,13177.5885498221,16468.343027638,15396.3597506428,15144.4818779384
"ENSMUSG00000000339",215.935695884081,251.831568091366,192.722544403206,224.161610337172,223.327644566686,212.099870041295,218.902361021987,248.463439301773,211.170014311394
"ENSMUSG00000000340",3158.59585085339,2277.79462075593,3017.87081795268,3354.90093935112,2324.86890866299,2317.34412142598,2198.23893233927,2934.99864657678,3081.48033299764
"ENSMUSG00000000346",3665.77432719054,3506.9521252756,3912.54596265523,3723.55873643336,3849.778339409,3728.44270486708,3843.80978690683,3977.43791203014,4167.92466649649
"ENSMUSG00000000355",619.161293616183,463.198970031727,524.613959702553,493.171840927791,582.152019505167,514.72124008666,527.024397204562,602.071920690394,574.403917022697
"ENSMUSG00000000359",13.2932305520448,7.16738844521349,28.3039438304012,37.322611619969,32.1379480604,23.6952208178458,10.4160461152952,8.32673441095235,17.2256562852782
"ENSMUSG00000000365",0,3.71650322011338,7.20247654011199,0,6.22116765294159,3.12238782398483,0,11.0137569670551,0.368922199204485
"ENSMUSG00000000374",696.721901073719,912.444204847607,794.650094769458,686.955315354548,798.597640063765,776.937959878837,694.679355099455,903.1190113112,806.347923842
"ENSMUSG00000000378",480.388690980141,536.453913928044,542.974322827999,495.542240895874,477.794700848851,464.173786553077,395.986235206533,425.467095778262,445.575716780726
"ENSMUSG00000000384",1048.1127712678,840.957629641977,1152.25404611213,961.423604693428,991.10141909113,688.882783633369,874.402563394178,1013.96674732595,990.583311931314
"ENSMUSG00000000385",127.350603936849,116.959766134255,116.982411564461,78.1345164795811,153.362661366218,141.848828707728,141.596990496774,90.1819571511507,95.0437426802445
"ENSMUSG00000000386",72.2805085787794,99.5194350953739,133.262478652522,85.4529657867065,58.894143550198,122.738394351361,144.71444168015,54.9364482834118,26.8705555374566
"ENSMUSG00000000392",10.9463278897617,14.3503362387711,6.95187070332137,9.52331537479331,7.9915382679171,10.7627034473713,10.9692622327502,10.3540937060533,16.6856158625038
"ENSMUSG00000000399",2717.55994381707,2507.23355366808,2788.13333776316,2548.92315544863,2992.16601876935,2118.87542027942,2372.04159448125,2956.01406447688,2733.71253243766
"ENSMUSG00000000402",3.11383656739102,0.951379712860609,1.02581482851749,0,3.88346072470878,0,0,1.10527083739488,3.82706044863079
"ENSMUSG00000000409",101.252292312001,160.186783383064,94.7947570446403,66.5593524022433,105.224394190247,206.827572746237,59.8020972680664,39.3497490855054,38.1137346674213
"ENSMUSG00000000416",8.32119075055494,9.69679793809225,7.11543408958447,11.8229392203793,54.7094710176561,13.3331923696525,14.9476927485677,4.98204051309295,6.18350012947908
"ENSMUSG00000000420",1302.75645020388,1501.82606628349,1606.13224517804,1469.09053733009,1440.48664092137,1431.5186191507,1341.53263234804,1350.0037577611,1472.20169164981
