Source name,Sample name,Space mission,Spaceflight,Dissection,HE file ID,ORO Positivity (%)
RR1_BSL_M4,Mmus_C57-6J_LVR_BSL_C_Rep1_M4,RR1,Basal,Carcass,17-317.1 HE G1 1-2-3,10.41
RR1_BSL_M5,Mmus_C57-6J_LVR_BSL_C_Rep2_M5,RR1,Basal,Carcass,17-317.1 HE G1 1-2-3,22.29
RR1_BSL_M7,Mmus_C57-6J_LVR_BSL_C_Rep3_M7,RR1,Basal,Carcass,17-317.1 HE G1 1-2-3,2.09
RR1_BSL_M8,Mmus_C57-6J_LVR_BSL_C_Rep4_M8,RR1,Basal,Carcass,17-317.1 HE G1 4-5,8.36
RR1_BSL_M10,Mmus_C57-6J_LVR_BSL_C_Rep5_M10,RR1,Basal,Carcass,17-317.1 HE G1 4-5,3.3
RR1_VIV_M16,Mmus_C57-6J_LVR_VIV_C_Rep1_M16,RR1,Vivarium,Carcass,17-317.1 HE G2 6-7-8,16.97
RR1_VIV_M17,Mmus_C57-6J_LVR_VIV_C_Rep2_M17,RR1,Vivarium,Carcass,17-317.1 HE G2 6-7-8,14.98
RR1_VIV_M18,Mmus_C57-6J_LVR_VIV_C_Rep3_M18,RR1,Vivarium,Carcass,17-317.1 HE G2 6-7-8,13.07
RR1_VIV_M19,Mmus_C57-6J_LVR_VIV_C_Rep4_M19,RR1,Vivarium,Carcass,17-317.1 HE G2 9-10,1.44
RR1_VIV_M20,Mmus_C57-6J_LVR_VIV_C_Rep5_M20,RR1,Vivarium,Carcass,17-317.1 HE G2 9-10,7.89
RR1_GC_M31,Mmus_C57-6J_LVR_GC_I_Rep1_M31,RR1,Ground,Upon euthanasia,17-317.1 HE G6 23-24,1.34
RR1_GC_M32,"	Mmus_C57-6J_LVR_GC_I_Rep2_M32",RR1,Ground,Upon euthanasia,17-317.1 HE G6 23-24,0.91
RR1_FLT_M25,Mmus_C57-6J_LVR_FLT_C_Rep1_M25,RR1,Flight,Carcass,17-317.1 HE G4 16-17-18,7.11
RR1_FLT_M26,Mmus_C57-6J_LVR_FLT_C_Rep2_M26,RR1,Flight,Carcass,17-317.1 HE G4 16-17-18,6.68
RR1_FLT_M27,Mmus_C57-6J_LVR_FLT_C_Rep3_M27,RR1,Flight,Carcass,17-317.1 HE G4 16-17-18,13.45
RR1_FLT_M28,Mmus_C57-6J_LVR_FLT_C_Rep4_M28,RR1,Flight,Carcass,17-317.1 HE G4 19-20,26.94
RR1_FLT_M30,Mmus_C57-6J_LVR_FLT_C_Rep5_M30,RR1,Flight,Carcass,17-317.1 HE G4 19-20,23.72
RR1_FLT_M21,Mmus_C57-6J_LVR_FLT_I_Rep1_M21,RR1,Flight,Upon euthanasia,17-317.1 HE G5 21-22,14.4
RR1_FLT_M22,Mmus_C57-6J_LVR_FLT_I_Rep2_M22,RR1,Flight,Upon euthanasia,17-317.1 HE G5 21-22,24.7
RR1_GC_M36,Mmus_C57-6J_LVR_GC_C_Rep1_M36,RR1,Ground,Carcass,17-317.1 HE G3 11-12-13,3.82
RR1_GC_M37,Mmus_C57-6J_LVR_GC_C_Rep2_M37,RR1,Ground,Carcass,17-317.1 HE G3 11-12-13,4.79
RR1_GC_M38,Mmus_C57-6J_LVR_GC_C_Rep3_M38,RR1,Ground,Carcass,17-317.1 HE G3 11-12-13,11.66
RR1_GC_M39,Mmus_C57-6J_LVR_GC_C_Rep4_M39,RR1,Ground,Carcass,17-317.1 HE G3 14-15,5.35
RR1_GC_M40,Mmus_C57-6J_LVR_GC_C_Rep5_M40,RR1,Ground,Carcass,17-317.1 HE G3 14-15,10.57
