Source Name	Sample Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Strain]	Term Source REF	Term Accession Number	Characteristics[Material Type]	Term Source REF	Term Accession Number	Factor Value[Spaceflight]	Term Source REF	Term Accession Number	Factor Value[Dissection Condition]	Characteristics[Animal Source]	Characteristics[Sex]	Term Source REF	Term Accession Number	Characteristics[Age at Launch]	Unit	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[light cycle]	Parameter Value[habitat]	Parameter Value[duration]	Unit	Term Source REF	Term Accession Number	Parameter Value[Diet]	Term Source REF	Term Accession Number	Parameter Value[Feeding Schedule]	Protocol REF	Parameter Value[Sample Preservation Method]	Term Source REF	Term Accession Number	Parameter Value[Sample Storage Temperature]	Unit	Term Source REF	Term Accession Number	Parameter Value[Euthanasia Method]	Term Source REF	Term Accession Number	Parameter Value[Carcass Preservation Method]	Comment[LSDA Biospecimen ID]	Comment[LSDA Biospecimen Subject ID]	Comment[Original Submitted Sample Name]	Comment[Sample Name Description]	Protocol REF	Parameter Value[ionizing radiation]	Term Source REF	Term Accession Number	Parameter Value[absorbed radiation dose]	Unit	Term Source REF	Term Accession Number	Parameter Value[absorbed radiation dose rate]	Unit	Term Source REF	Term Accession Number	Parameter Value[exposure duration]	Unit	Term Source REF	Term Accession Number	Parameter Value[ionizing radiation categorized by source]	Term Source REF	Term Accession Number	Parameter Value[vehicle]	Term Source REF	Term Accession Number
RR1_FLT_M21	Mmus_C57-6J_LVR_FLT_I_Rep1_M21	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Liver	MESH	http://purl.bioontology.org/ontology/MESH/D008099	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Upon euthanasia	Jackson Laboratory	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	16	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Animal Husbandry	12 h light/dark cycle	Rodent Habitat	37	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Nutrient Upgraded Rodent Food Bar (NuRFB)			ad libitum	sample collection	Mini Cold Bag to -80C freezer			-80	degree Celsius	RXNORM	http://purl.bioontology.org/ontology/RXNORM/1100450	Euthasol	UO	http://purl.obolibrary.org/obo/UO_0000027	Mini Cold Bag to -80C freezer	5421/5425	426	RR1_FLT_M21_LVR	Flight_Mouse21_Liver	radiation dosimetry	space radiation	RXNORM	http://purl.bioontology.org/ontology/RXNORM/1100450	7.752	milligray	RBO	http://purl.obolibrary.org/obo/RBO_00000002	0.204	milligray per day	UO	http://purl.obolibrary.org/obo/UO_0000142	38	day	RBO	http://purl.obolibrary.org/obo/UO_0010063	outer space	UO	http://purl.obolibrary.org/obo/UO_0000033	ISS-US Laboratory	RBO	http://purl.obolibrary.org/obo/ENVO_01000637
RR1_FLT_M22	Mmus_C57-6J_LVR_FLT_I_Rep2_M22	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Liver	MESH	http://purl.bioontology.org/ontology/MESH/D008099	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Upon euthanasia	Jackson Laboratory	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	16	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Animal Husbandry	12 h light/dark cycle	Rodent Habitat	37	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Nutrient Upgraded Rodent Food Bar (NuRFB)			ad libitum	sample collection	Mini Cold Bag to -80C freezer			-80	degree Celsius	RXNORM	http://purl.bioontology.org/ontology/RXNORM/1100450	Euthasol	UO	http://purl.obolibrary.org/obo/UO_0000027	Mini Cold Bag to -80C freezer	5421/5425	426	RR1_FLT_M22_LVR	Flight_Mouse22_Liver	radiation dosimetry	space radiation	RXNORM	http://purl.bioontology.org/ontology/RXNORM/1100450	7.752	milligray	RBO	http://purl.obolibrary.org/obo/RBO_00000002	0.204	milligray per day	UO	http://purl.obolibrary.org/obo/UO_0000142	38	day	RBO	http://purl.obolibrary.org/obo/UO_0010063	outer space	UO	http://purl.obolibrary.org/obo/UO_0000033	ISS-US Laboratory	RBO	http://purl.obolibrary.org/obo/ENVO_01000637
RR1_FLT_M25	Mmus_C57-6J_LVR_FLT_C_Rep1_M25	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Liver	MESH	http://purl.bioontology.org/ontology/MESH/D008099	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Carcass	Jackson Laboratory	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	16	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Animal Husbandry	12 h light/dark cycle	Rodent Habitat	37	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Nutrient Upgraded Rodent Food Bar (NuRFB)			ad libitum	sample collection	RLT buffer homogenized and snap frozen			-80	degree Celsius	RXNORM	http://purl.bioontology.org/ontology/RXNORM/1100450	Euthasol	UO	http://purl.obolibrary.org/obo/UO_0000027	Mini Cold Bag to -80C freezer	5421/5425	426	RR1_FLT_M25_LVR	Flight_Mouse25_Liver	radiation dosimetry	space radiation	RXNORM	http://purl.bioontology.org/ontology/RXNORM/1100450	7.752	milligray	RBO	http://purl.obolibrary.org/obo/RBO_00000002	0.204	milligray per day	UO	http://purl.obolibrary.org/obo/UO_0000142	38	day	UO	http://purl.obolibrary.org/obo/UO_0010063	outer space	UO	http://purl.obolibrary.org/obo/UO_0000033	ISS-US Laboratory	RBO	http://purl.obolibrary.org/obo/ENVO_01000637
RR1_FLT_M26	Mmus_C57-6J_LVR_FLT_C_Rep2_M26	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Liver	MESH	http://purl.bioontology.org/ontology/MESH/D008099	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Carcass	Jackson Laboratory	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	16	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Animal Husbandry	12 h light/dark cycle	Rodent Habitat	37	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Nutrient Upgraded Rodent Food Bar (NuRFB)			ad libitum	sample collection	RLT buffer homogenized and snap frozen			-80	degree Celsius	RXNORM	http://purl.bioontology.org/ontology/RXNORM/1100450	Euthasol	UO	http://purl.obolibrary.org/obo/UO_0000027	Mini Cold Bag to -80C freezer	5421/5425	426	RR1_FLT_M26_LVR	Flight_Mouse26_Liver	radiation dosimetry	space radiation	RXNORM	http://purl.bioontology.org/ontology/RXNORM/1100450	7.752	milligray	RBO	http://purl.obolibrary.org/obo/RBO_00000002	0.204	milligray per day	UO	http://purl.obolibrary.org/obo/UO_0000142	38	day	UO	http://purl.obolibrary.org/obo/UO_0010063	outer space	UO	http://purl.obolibrary.org/obo/UO_0000033	ISS-US Laboratory	RBO	http://purl.obolibrary.org/obo/ENVO_01000637
RR1_FLT_M27	Mmus_C57-6J_LVR_FLT_C_Rep3_M27	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Liver	MESH	http://purl.bioontology.org/ontology/MESH/D008099	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Carcass	Jackson Laboratory	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	16	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Animal Husbandry	12 h light/dark cycle	Rodent Habitat	37	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Nutrient Upgraded Rodent Food Bar (NuRFB)			ad libitum	sample collection	RLT buffer homogenized and snap frozen			-80	degree Celsius	RXNORM	http://purl.bioontology.org/ontology/RXNORM/1100450	Euthasol	UO	http://purl.obolibrary.org/obo/UO_0000027	Mini Cold Bag to -80C freezer	5421/5425	426	RR1_FLT_M27_LVR	Flight_Mouse27_Liver	radiation dosimetry	space radiation	RXNORM	http://purl.bioontology.org/ontology/RXNORM/1100450	7.752	milligray	RBO	http://purl.obolibrary.org/obo/RBO_00000002	0.204	milligray per day	UO	http://purl.obolibrary.org/obo/UO_0000142	38	day	UO	http://purl.obolibrary.org/obo/UO_0010063	outer space	UO	http://purl.obolibrary.org/obo/UO_0000033	ISS-US Laboratory	RBO	http://purl.obolibrary.org/obo/ENVO_01000637
RR1_FLT_M28	Mmus_C57-6J_LVR_FLT_C_Rep4_M28	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Liver	MESH	http://purl.bioontology.org/ontology/MESH/D008099	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Carcass	Jackson Laboratory	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	16	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Animal Husbandry	12 h light/dark cycle	Rodent Habitat	37	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Nutrient Upgraded Rodent Food Bar (NuRFB)			ad libitum	sample collection	RLT buffer homogenized and snap frozen			-80	degree Celsius	RXNORM	http://purl.bioontology.org/ontology/RXNORM/1100450	Euthasol	UO	http://purl.obolibrary.org/obo/UO_0000027	Mini Cold Bag to -80C freezer	5421/5425	426	RR1_FLT_M28_LVR	Flight_Mouse28_Liver	radiation dosimetry	space radiation	RXNORM	http://purl.bioontology.org/ontology/RXNORM/1100450	7.752	milligray	RBO	http://purl.obolibrary.org/obo/RBO_00000002	0.204	milligray per day	UO	http://purl.obolibrary.org/obo/UO_0000142	38	day	UO	http://purl.obolibrary.org/obo/UO_0010063	outer space	UO	http://purl.obolibrary.org/obo/UO_0000033	ISS-US Laboratory	RBO	http://purl.obolibrary.org/obo/ENVO_01000637
RR1_FLT_M29	Mmus_C57-6J_LVR_FLT_C_Rep6_M29	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Liver	MESH	http://purl.bioontology.org/ontology/MESH/D008099	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Carcass	Jackson Laboratory	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	16	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Animal Husbandry	12 h light/dark cycle	Rodent Habitat	37	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Nutrient Upgraded Rodent Food Bar (NuRFB)			ad libitum	sample collection	RLT buffer homogenized and snap frozen			-80	degree Celsius	RXNORM	http://purl.bioontology.org/ontology/RXNORM/1100450	Euthasol	UO	http://purl.obolibrary.org/obo/UO_0000027	Mini Cold Bag to -80C freezer	5421/5425	426	RR1_FLT_M29_LVR	Flight_Mouse29_Liver	radiation dosimetry	space radiation	RXNORM	http://purl.bioontology.org/ontology/RXNORM/1100450	7.752	milligray	RBO	http://purl.obolibrary.org/obo/RBO_00000002	0.204	milligray per day	UO	http://purl.obolibrary.org/obo/UO_0000142	38	day	UO	http://purl.obolibrary.org/obo/UO_0010063	outer space	UO	http://purl.obolibrary.org/obo/UO_0000033	ISS-US Laboratory	RBO	http://purl.obolibrary.org/obo/ENVO_01000637
RR1_FLT_M30	Mmus_C57-6J_LVR_FLT_C_Rep5_M30	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Liver	MESH	http://purl.bioontology.org/ontology/MESH/D008099	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Carcass	Jackson Laboratory	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	16	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Animal Husbandry	12 h light/dark cycle	Rodent Habitat	37	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Nutrient Upgraded Rodent Food Bar (NuRFB)			ad libitum	sample collection	RLT buffer homogenized and snap frozen			-80	degree Celsius	RXNORM	http://purl.bioontology.org/ontology/RXNORM/1100450	Euthasol	UO	http://purl.obolibrary.org/obo/UO_0000027	Mini Cold Bag to -80C freezer	5421/5425	426	RR1_FLT_M30_LVR	Flight_Mouse30_Liver	radiation dosimetry	space radiation	RXNORM	http://purl.bioontology.org/ontology/RXNORM/1100450	7.752	milligray	RBO	http://purl.obolibrary.org/obo/RBO_00000002	0.204	milligray per day	UO	http://purl.obolibrary.org/obo/UO_0000142	38	day	UO	http://purl.obolibrary.org/obo/UO_0010063	outer space	UO	http://purl.obolibrary.org/obo/UO_0000033	ISS-US Laboratory	RBO	http://purl.obolibrary.org/obo/ENVO_01000637
RR1_GC_M31	Mmus_C57-6J_LVR_GC_I_Rep1_M31	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Liver	MESH	http://purl.bioontology.org/ontology/MESH/D008099	Ground Control			Upon euthanasia	Jackson Laboratory	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	16	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Animal Husbandry	12 h light/dark cycle	Rodent Habitat	37	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Nutrient Upgraded Rodent Food Bar (NuRFB)			ad libitum	sample collection	Mini Cold Bag to -80C freezer			-80	degree Celsius	RXNORM	http://purl.bioontology.org/ontology/RXNORM/1100450	Euthasol	UO	http://purl.obolibrary.org/obo/UO_0000027	Mini Cold Bag to -80C freezer	5422/5427	445	RR1_GC_M31_LVR	Ground Control_Mouse31_Liver	radiation dosimetry	non-irradiated	RXNORM	http://purl.bioontology.org/ontology/RXNORM/1100450		Not Applicable	RBO	http://purl.obolibrary.org/obo/RBO_00005025		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable	OSD	https://osdr.nasa.gov/	Not Applicable	OSD	https://osdr.nasa.gov/	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660
RR1_GC_M32	Mmus_C57-6J_LVR_GC_I_Rep2_M32	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Liver	MESH	http://purl.bioontology.org/ontology/MESH/D008099	Ground Control			Upon euthanasia	Jackson Laboratory	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	16	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Animal Husbandry	12 h light/dark cycle	Rodent Habitat	37	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Nutrient Upgraded Rodent Food Bar (NuRFB)			ad libitum	sample collection	Mini Cold Bag to -80C freezer			-80	degree Celsius	RXNORM	http://purl.bioontology.org/ontology/RXNORM/1100450	Euthasol	UO	http://purl.obolibrary.org/obo/UO_0000027	Mini Cold Bag to -80C freezer	5422/5427	445	RR1_GC_M32_LVR	Ground Control_Mouse32_Liver	radiation dosimetry	non-irradiated	RXNORM	http://purl.bioontology.org/ontology/RXNORM/1100450		Not Applicable	RBO	http://purl.obolibrary.org/obo/RBO_00005025		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable	OSD	https://osdr.nasa.gov/	Not Applicable	OSD	https://osdr.nasa.gov/	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660
RR1_GC_M35	Mmus_C57-6J_LVR_GC_C_Rep6_M35	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Liver	MESH	http://purl.bioontology.org/ontology/MESH/D008099	Ground Control			Carcass	Jackson Laboratory	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	16	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Animal Husbandry	12 h light/dark cycle	Rodent Habitat	37	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Nutrient Upgraded Rodent Food Bar (NuRFB)			ad libitum	sample collection	RLT buffer homogenized and snap frozen			-80	degree Celsius	RXNORM	http://purl.bioontology.org/ontology/RXNORM/1100450	Euthasol	UO	http://purl.obolibrary.org/obo/UO_0000027	Mini Cold Bag to -80C freezer	5422/5427	445	RR1_GC_M35_LVR	Ground Control_Mouse35_Liver	radiation dosimetry	non-irradiated	RXNORM	http://purl.bioontology.org/ontology/RXNORM/1100450		Not Applicable	RBO	http://purl.obolibrary.org/obo/RBO_00005025		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable	OSD	https://osdr.nasa.gov/	Not Applicable	OSD	https://osdr.nasa.gov/	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660
RR1_GC_M36	Mmus_C57-6J_LVR_GC_C_Rep1_M36	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Liver	MESH	http://purl.bioontology.org/ontology/MESH/D008099	Ground Control			Carcass	Jackson Laboratory	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	16	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Animal Husbandry	12 h light/dark cycle	Rodent Habitat	37	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Nutrient Upgraded Rodent Food Bar (NuRFB)			ad libitum	sample collection	RLT buffer homogenized and snap frozen			-80	degree Celsius	RXNORM	http://purl.bioontology.org/ontology/RXNORM/1100450	Euthasol	UO	http://purl.obolibrary.org/obo/UO_0000027	Mini Cold Bag to -80C freezer	5422/5427	445	RR1_GC_M36_LVR	Ground Control_Mouse36_Liver	radiation dosimetry	non-irradiated	RXNORM	http://purl.bioontology.org/ontology/RXNORM/1100450		Not Applicable	RBO	http://purl.obolibrary.org/obo/RBO_00005025		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable	OSD	https://osdr.nasa.gov/	Not Applicable	OSD	https://osdr.nasa.gov/	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660
RR1_GC_M37	Mmus_C57-6J_LVR_GC_C_Rep2_M37	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Liver	MESH	http://purl.bioontology.org/ontology/MESH/D008099	Ground Control			Carcass	Jackson Laboratory	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	16	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Animal Husbandry	12 h light/dark cycle	Rodent Habitat	37	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Nutrient Upgraded Rodent Food Bar (NuRFB)			ad libitum	sample collection	RLT buffer homogenized and snap frozen			-80	degree Celsius	RXNORM	http://purl.bioontology.org/ontology/RXNORM/1100450	Euthasol	UO	http://purl.obolibrary.org/obo/UO_0000027	Mini Cold Bag to -80C freezer	5422/5427	445	RR1_GC_M37_LVR	Ground Control_Mouse37_Liver	radiation dosimetry	non-irradiated	RXNORM	http://purl.bioontology.org/ontology/RXNORM/1100450		Not Applicable	RBO	http://purl.obolibrary.org/obo/RBO_00005025		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable	OSD	https://osdr.nasa.gov/	Not Applicable	OSD	https://osdr.nasa.gov/	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660
RR1_GC_M38	Mmus_C57-6J_LVR_GC_C_Rep3_M38	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Liver	MESH	http://purl.bioontology.org/ontology/MESH/D008099	Ground Control			Carcass	Jackson Laboratory	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	16	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Animal Husbandry	12 h light/dark cycle	Rodent Habitat	37	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Nutrient Upgraded Rodent Food Bar (NuRFB)			ad libitum	sample collection	RLT buffer homogenized and snap frozen			-80	degree Celsius	RXNORM	http://purl.bioontology.org/ontology/RXNORM/1100450	Euthasol	UO	http://purl.obolibrary.org/obo/UO_0000027	Mini Cold Bag to -80C freezer	5422/5427	445	RR1_GC_M38_LVR	Ground Control_Mouse38_Liver	radiation dosimetry	non-irradiated	RXNORM	http://purl.bioontology.org/ontology/RXNORM/1100450		Not Applicable	RBO	http://purl.obolibrary.org/obo/RBO_00005025		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable	OSD	https://osdr.nasa.gov/	Not Applicable	OSD	https://osdr.nasa.gov/	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660
RR1_GC_M39	Mmus_C57-6J_LVR_GC_C_Rep4_M39	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Liver	MESH	http://purl.bioontology.org/ontology/MESH/D008099	Ground Control			Carcass	Jackson Laboratory	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	16	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Animal Husbandry	12 h light/dark cycle	Rodent Habitat	37	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Nutrient Upgraded Rodent Food Bar (NuRFB)			ad libitum	sample collection	RLT buffer homogenized and snap frozen			-80	degree Celsius	RXNORM	http://purl.bioontology.org/ontology/RXNORM/1100450	Euthasol	UO	http://purl.obolibrary.org/obo/UO_0000027	Mini Cold Bag to -80C freezer	5422/5427	445	RR1_GC_M39_LVR	Ground Control_Mouse39_Liver	radiation dosimetry	non-irradiated	RXNORM	http://purl.bioontology.org/ontology/RXNORM/1100450		Not Applicable	RBO	http://purl.obolibrary.org/obo/RBO_00005025		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable	OSD	https://osdr.nasa.gov/	Not Applicable	OSD	https://osdr.nasa.gov/	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660
RR1_GC_M40	Mmus_C57-6J_LVR_GC_C_Rep5_M40	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Liver	MESH	http://purl.bioontology.org/ontology/MESH/D008099	Ground Control			Carcass	Jackson Laboratory	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	16	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Animal Husbandry	12 h light/dark cycle	Rodent Habitat	37	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Nutrient Upgraded Rodent Food Bar (NuRFB)			ad libitum	sample collection	RLT buffer homogenized and snap frozen			-80	degree Celsius	RXNORM	http://purl.bioontology.org/ontology/RXNORM/1100450	Euthasol	UO	http://purl.obolibrary.org/obo/UO_0000027	Mini Cold Bag to -80C freezer	5422/5427	445	RR1_GC_M40_LVR	Ground Control_Mouse40_Liver	radiation dosimetry	non-irradiated	RXNORM	http://purl.bioontology.org/ontology/RXNORM/1100450		Not Applicable	RBO	http://purl.obolibrary.org/obo/RBO_00005025		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable	OSD	https://osdr.nasa.gov/	Not Applicable	OSD	https://osdr.nasa.gov/	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660
RR1_GC_NASA+CASIS_LVR_POOL	RR1_GC_NASA+CASIS_LVR_POOL	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J and C57BL/6Tac	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Liver	MESH	http://purl.bioontology.org/ontology/MESH/D008099	Not Applicable			Not Applicable	Jackson Laboratory	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260		16 weeks and 8 months	OSD	https://osdr.nasa.gov/	Animal Husbandry	Not Applicable	Not Applicable		Not Applicable	OSD	https://osdr.nasa.gov/	Nutrient Upgraded Rodent Food Bar (NuRFB)			ad libitum	sample collection	Not Applicable				Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	Not Applicable	OSD	https://osdr.nasa.gov/	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	radiation dosimetry	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660		Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable	OSD	https://osdr.nasa.gov/	Not Applicable	OSD	https://osdr.nasa.gov/	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660
RR1_GC_NASA_LVR_POOL	RR1_GC_NASA_LVR_POOL	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Liver	MESH	http://purl.bioontology.org/ontology/MESH/D008099	Not Applicable			Not Applicable	Jackson Laboratory	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	16	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Animal Husbandry	Not Applicable	Not Applicable		Not Applicable	OSD	https://osdr.nasa.gov/	Nutrient Upgraded Rodent Food Bar (NuRFB)			ad libitum	sample collection	Not Applicable				Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	Not Applicable	OSD	https://osdr.nasa.gov/	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	radiation dosimetry	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660		Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable	OSD	https://osdr.nasa.gov/	Not Applicable	OSD	https://osdr.nasa.gov/	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660
RR1_BA_CASIS_LVR_POOL	RR1_BA_CASIS_LVR_POOL	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Liver	MESH	http://purl.bioontology.org/ontology/MESH/D008099	Not Applicable			Not Applicable	Taconic Biosciences	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	8	month	UO	http://purl.obolibrary.org/obo/UO_0000035	Animal Husbandry	Not Applicable	Not Applicable		Not Applicable	OSD	https://osdr.nasa.gov/	Nutrient Upgraded Rodent Food Bar (NuRFB)			ad libitum	sample collection	Not Applicable				Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	Not Applicable	OSD	https://osdr.nasa.gov/	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	radiation dosimetry	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660		Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable	OSD	https://osdr.nasa.gov/	Not Applicable	OSD	https://osdr.nasa.gov/	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660
