Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,Library,Experiment
GO_Biological_Process_2023,Positive Regulation Of Cell-Cell Adhesion Mediated By Cadherin (GO:2000049),1/8,0.0119391531667426,0.1081565352877111,0,0,98.33990147783253,435.442406227662,PTPRU,GO_Biological_Process_2023,RR1_regular
GO_Biological_Process_2023,Intestinal Epithelial Cell Differentiation (GO:0060575),1/8,0.0119391531667426,0.1081565352877111,0,0,98.33990147783253,435.442406227662,GATA5,GO_Biological_Process_2023,RR1_regular
GO_Biological_Process_2023,Regulation Of Necrotic Cell Death (GO:0010939),1/8,0.0119391531667426,0.1081565352877111,0,0,98.33990147783253,435.442406227662,ATG9B,GO_Biological_Process_2023,RR1_regular
GO_Biological_Process_2023,Endocardial Cushion Morphogenesis (GO:0003203),1/21,0.0310470628007074,0.1096996218958328,0,0,34.39655172413793,119.43346355828848,GATA5,GO_Biological_Process_2023,RR1_regular
GO_Cellular_Component_2023,9+2 Motile Cilium (GO:0097729),2/70,0.0049304563791428,0.0995313066135515,0,0,20.90546218487395,111.05658271288344,FLACC1;CFAP45,GO_Cellular_Component_2023,RR1_regular
GO_Cellular_Component_2023,Autophagosome (GO:0005776),2/83,0.0068642280423139,0.0995313066135515,0,0,17.538800705467374,87.36833771598931,RUFY4;ATG9B,GO_Cellular_Component_2023,RR1_regular
GO_Cellular_Component_2023,Microvillus Membrane (GO:0031528),1/13,0.0193310605643026,0.1712258357142298,0,0,57.35057471264368,226.30778348154325,CDHR2,GO_Cellular_Component_2023,RR1_regular
GO_Cellular_Component_2023,Recycling Endosome (GO:0055037),2/159,0.0236173566502385,0.1712258357142298,0,0,9.01410373066424,33.76478985279455,ATG9B;SLC9B2,GO_Cellular_Component_2023,RR1_regular
GO_Cellular_Component_2023,Brush Border Membrane (GO:0031526),1/40,0.058332876023497,0.3015086668568802,0,0,17.622458001768347,50.075790447561154,CDHR2,GO_Cellular_Component_2023,RR1_regular
GO_Cellular_Component_2023,Microvillus (GO:0005902),1/58,0.0834964966939316,0.3015086668568802,0,0,12.04658197217181,29.91106798113016,CDHR2,GO_Cellular_Component_2023,RR1_regular
GO_Cellular_Component_2023,Sperm Flagellum (GO:0036126),1/60,0.0862519938757385,0.3015086668568802,0,0,11.637054354178844,28.516393460743195,FLACC1,GO_Cellular_Component_2023,RR1_regular
GO_Cellular_Component_2023,Acrosomal Vesicle (GO:0001669),1/64,0.091738983515608,0.3015086668568802,0,0,10.896004378763,26.028461010792668,SPAG17,GO_Cellular_Component_2023,RR1_regular
GO_Cellular_Component_2023,Recycling Endosome Membrane (GO:0055038),1/70,0.0999097923540907,0.3015086668568802,0,0,9.945527236381809,22.909398431433704,ATG9B,GO_Cellular_Component_2023,RR1_regular
GO_Cellular_Component_2023,Motile Cilium (GO:0031514),1/73,0.1039685058127173,0.3015086668568802,0,0,9.529693486590038,21.572055090315494,CFAP45,GO_Cellular_Component_2023,RR1_regular
GO_Cellular_Component_2023,Cell Projection Membrane (GO:0031253),1/105,0.1461752814085876,0.3853711964408219,0,0,6.586870026525199,12.666213943509506,CDHR2,GO_Cellular_Component_2023,RR1_regular
GO_Cellular_Component_2023,Mitochondrial Envelope (GO:0005740),1/146,0.1974513744361394,0.4771741548873369,0,0,4.714625445897741,7.64836209132287,SLC9B2,GO_Cellular_Component_2023,RR1_regular
GO_Cellular_Component_2023,Basolateral Plasma Membrane (GO:0016323),1/171,0.227242503419016,0.5069255845501127,0,0,4.016227180527383,5.950994561365476,SLC4A9,GO_Cellular_Component_2023,RR1_regular
GO_Cellular_Component_2023,Vesicle (GO:0031982),1/235,0.2987181715489204,0.5898239568412939,0,0,2.90834070144415,3.5140163803546645,PACRG,GO_Cellular_Component_2023,RR1_regular
