gene,ate
ENSMUSG00000117874,-0.22364045756687645
ENSMUSG00000075318,-0.0929766367308229
ENSMUSG00000035373,-0.7210664848322352
ENSMUSG00000111709,-0.010305772899032561
ENSMUSG00000022613,-0.3043280652232987
ENSMUSG00000054083,-0.6401859863498167
ENSMUSG00000094686,-0.0947547402796971
ENSMUSG00000035352,-1.9814996753890135
ENSMUSG00000078901,-8.906208711323416e-05
ENSMUSG00000109564,0.014699680508281077
ENSMUSG00000034918,0.9951261769431721
ENSMUSG00000032323,-6.009637752768526e-05
ENSMUSG00000074240,-0.2036725465338627
ENSMUSG00000041794,0.1887709724450879
ENSMUSG00000029384,-0.7514770150247827
ENSMUSG00000074183,-0.012549423502330015
ENSMUSG00000031026,0.6342641713894199
ENSMUSG00000028587,0.20494024207794048
ENSMUSG00000027379,0.034996263068750366
ENSMUSG00000022878,-0.01820535481265395
