Sample name,ORO Positivity (%)
Mmus_C57-6T_LVR_GC_Rep1_G2,14.49
Mmus_C57-6T_LVR_GC_Rep2_G3,13.96
Mmus_C57-6T_LVR_GC_Rep3_G5,17.35
Mmus_C57-6T_LVR_FLT_Rep1_F1,23.56
Mmus_C57-6T_LVR_FLT_Rep2_F2,25.56
Mmus_C57-6T_LVR_FLT_Rep3_F4,16.28
Mmus_C57-6T_LVR_BSL_Rep1_B1,23.8
Mmus_C57-6T_LVR_BSL_Rep2_B2,19.79
Mmus_C57-6T_LVR_BSL_Rep3_B3,17.44
