Sample name,ORO Positivity (%)
Mmus_C57-6J_LVR_GC_I_Rep1_M31,1.34
Mmus_C57-6J_LVR_FLT_C_Rep1_M25,7.11
Mmus_C57-6J_LVR_FLT_C_Rep2_M26,6.68
Mmus_C57-6J_LVR_FLT_C_Rep3_M27,13.45
Mmus_C57-6J_LVR_FLT_C_Rep4_M28,26.94
Mmus_C57-6J_LVR_FLT_C_Rep5_M30,23.72
Mmus_C57-6J_LVR_FLT_I_Rep1_M21,14.4
Mmus_C57-6J_LVR_FLT_I_Rep2_M22,24.7
Mmus_C57-6J_LVR_GC_C_Rep1_M36,3.82
Mmus_C57-6J_LVR_GC_C_Rep2_M37,4.79
Mmus_C57-6J_LVR_GC_C_Rep3_M38,11.66
Mmus_C57-6J_LVR_GC_C_Rep4_M39,5.35
Mmus_C57-6J_LVR_GC_C_Rep5_M40,10.57
